,Bid,Ask,IV,Open Int,Time to Maturity (years),Log Moneyness,Strike,Mid
0,0.0,0.05,2.6312,35,0.0027397260273972603,-0.5268112871335623,1700.0,0.025
1,0.0,0.05,2.3577,42,0.0027397260273972603,-0.4696528732936137,1800.0,0.025
2,0.0,0.05,2.2318,66,0.0027397260273972603,-0.4422538991054992,1850.0,0.025
3,0.0,0.05,2.0944,22,0.0027397260273972603,-0.4155856520233379,1900.0,0.025
4,0.0,0.05,1.9698,225,0.0027397260273972603,-0.3896101656200773,1950.0,0.025
5,0.0,0.05,1.8452,69,0.0027397260273972603,-0.3642923576357874,2000.0,0.025
6,0.0,0.05,1.7432,36,0.0027397260273972603,-0.33959974504541585,2050.0,0.025
7,0.0,0.05,1.6246,56,0.0027397260273972603,-0.3155021934663554,2100.0,0.025
8,0.0,0.05,1.501,10,0.0027397260273972603,-0.29197169605616125,2150.0,0.025
9,0.0,0.05,1.4067,19,0.0027397260273972603,-0.2689821778314625,2200.0,0.025
10,0.0,0.05,1.3447,21,0.0027397260273972603,-0.2576826225775291,2225.0,0.025
11,0.0,0.05,1.2882,11,0.0027397260273972603,-0.2465093219794039,2250.0,0.025
12,0.0,0.05,1.2345,18,0.0027397260273972603,-0.23545948579281892,2275.0,0.025
13,0.0,0.05,1.1885,317,0.0027397260273972603,-0.22453041526062864,2300.0,0.025
14,0.0,0.05,1.126,291,0.0027397260273972603,-0.21371949915641303,2325.0,0.025
15,0.0,0.05,1.0764,109,0.0027397260273972603,-0.20302421003966506,2350.0,0.025
16,0.0,0.05,1.0261,52,0.0027397260273972603,-0.19244210070912812,2375.0,0.025
17,0.0,0.05,0.9918,1,0.0027397260273972603,-0.18614617225231345,2390.0,0.025
18,0.0,0.05,0.9688,8,0.0027397260273972603,-0.1819708008418327,2400.0,0.025
19,0.0,0.05,0.9497,0,0.0027397260273972603,-0.17781279069316908,2410.0,0.025
20,0.0,0.05,0.9264,11,0.0027397260273972603,-0.1736719980271376,2420.0,0.025
21,0.0,0.05,0.9162,295,0.0027397260273972603,-0.17160801380628612,2425.0,0.025
22,0.0,0.05,0.9069,30,0.0027397260273972603,-0.16954828084327558,2430.0,0.025
23,0.0,0.05,0.8858,30,0.0027397260273972603,-0.16544149889062224,2440.0,0.025
24,0.0,0.05,0.8669,34,0.0027397260273972603,-0.16135151363909703,2450.0,0.025
25,0.0,0.05,0.8491,10,0.0027397260273972603,-0.15727818825146125,2460.0,0.025
26,0.0,0.05,0.8289,7,0.0027397260273972603,-0.1532213875558468,2470.0,0.025
27,0.0,0.05,0.8168,65,0.0027397260273972603,-0.15119914217507902,2475.0,0.025
28,0.0,0.05,0.8083,19,0.0027397260273972603,-0.14918097801884186,2480.0,0.025
29,0.0,0.05,0.7872,200,0.0027397260273972603,-0.14515682771911648,2490.0,0.025
30,0.0,0.05,0.7692,304,0.0027397260273972603,-0.14114880632157759,2500.0,0.025
31,0.0,0.05,0.7467,106,0.0027397260273972603,-0.13715678505204018,2510.0,0.025
32,0.0,0.05,0.7277,11,0.0027397260273972603,-0.13318063667240068,2520.0,0.025
33,0.0,0.05,0.7174,447,0.0027397260273972603,-0.1311984754684095,2525.0,0.025
34,0.0,0.05,0.7086,84,0.0027397260273972603,-0.1292202354563038,2530.0,0.025
35,0.0,0.05,0.6979,2,0.0027397260273972603,-0.12724590115258622,2535.0,0.025
36,0.0,0.05,0.6823,79,0.0027397260273972603,-0.1252754571652875,2540.0,0.025
37,0.0,0.05,0.6775,10,0.0027397260273972603,-0.12330888819324655,2545.0,0.025
38,0.0,0.05,0.6646,257,0.0027397260273972603,-0.12134617902539786,2550.0,0.025
39,0.0,0.05,0.6575,0,0.0027397260273972603,-0.11938731454006492,2555.0,0.025
40,0.0,0.05,0.6481,1432,0.0027397260273972603,-0.11743227970426158,2560.0,0.025
41,0.0,0.05,0.6379,7,0.0027397260273972603,-0.11548105957299987,2565.0,0.025
42,0.0,0.05,0.6285,95,0.0027397260273972603,-0.11353363928860419,2570.0,0.025
43,0.0,0.05,0.6138,437,0.0027397260273972603,-0.11159000408003318,2575.0,0.025
44,0.0,0.05,0.6039,2238,0.0027397260273972603,-0.10965013926220661,2580.0,0.025
45,0.0,0.05,0.5985,1606,0.0027397260273972603,-0.10771403023534024,2585.0,0.025
46,0.0,0.05,0.5841,819,0.0027397260273972603,-0.10578166248428633,2590.0,0.025
47,0.0,0.05,0.5752,25,0.0027397260273972603,-0.10385302157788065,2595.0,0.025
48,0.0,0.05,0.5629,3189,0.0027397260273972603,-0.10192809316829628,2600.0,0.025
49,0.0,0.05,0.5532,10,0.0027397260273972603,-0.10000686299040243,2605.0,0.025
50,0.0,0.05,0.5447,445,0.0027397260273972603,-0.09808931686113065,2610.0,0.025
