,Bid,Ask,IV,Open Int,Time to Maturity (years),Log Moneyness,Strike,Mid,Inv Spread
112,0.1,0.15,0.1159,2390,0.0027397260273972603,0.014144078084457773,2920.0,0.125,20.000000000000004
1274,0.0,0.05,0.171,1,0.024657534246575342,0.08359346635632921,3130.0,0.025,20.0
132,0.0,0.05,0.2826,10,0.0027397260273972603,0.04781729319104567,3020.0,0.025,20.0
338,0.0,0.05,0.1242,9309,0.00821917808219178,0.03280450080186045,2975.0,0.025,20.0
525,0.0,0.05,0.2223,3,0.01643835616438356,0.08996291464180897,3150.0,0.025,20.0
1574,0.05,0.1,0.1182,2,0.0410958904109589,0.06586536306274857,3075.0,0.07500000000000001,20.0
143,0.0,0.05,0.4184,111,0.0027397260273972603,0.07396257329536783,3100.0,0.025,20.0
140,0.0,0.05,0.3784,4,0.0027397260273972603,0.06586536306274857,3075.0,0.025,20.0
137,0.0,0.05,0.3351,11,0.0027397260273972603,0.05770205242358753,3050.0,0.025,20.0
136,0.0,0.05,0.3177,8,0.0027397260273972603,0.05441797722239764,3040.0,0.025,20.0
134,0.0,0.05,0.3002,6,0.0027397260273972603,0.051123081325545126,3030.0,0.025,20.0
133,0.0,0.05,0.2924,204,0.0027397260273972603,0.04947155328707216,3025.0,0.025,20.0
130,0.0,0.05,0.2648,102,0.0027397260273972603,0.04450054056505159,3010.0,0.025,20.0
336,0.0,0.05,0.1125,472,0.00821917808219178,0.02943749425395619,2965.0,0.025,20.0
128,0.0,0.05,0.2481,61,0.0027397260273972603,0.04117275047237696,3000.0,0.025,20.0
127,0.0,0.05,0.2391,384,0.0027397260273972603,0.03950469337167996,2995.0,0.025,20.0
126,0.0,0.05,0.2289,40,0.0027397260273972603,0.03783384920686237,2990.0,0.025,20.0
125,0.0,0.05,0.2201,4,0.0027397260273972603,0.036160208648832744,2985.0,0.025,20.0
124,0.0,0.05,0.2114,353,0.0027397260273972603,0.03448376232158044,2980.0,0.025,20.0
123,0.0,0.05,0.2006,181,0.0027397260273972603,0.03280450080186045,2975.0,0.025,20.0
1270,0.0,0.05,0.1642,5,0.024657534246575342,0.08039346362565838,3120.0,0.025,20.0
121,0.0,0.05,0.1819,265,0.0027397260273972603,0.02943749425395619,2965.0,0.025,20.0
120,0.0,0.05,0.1739,310,0.0027397260273972603,0.027749730140236226,2960.0,0.025,20.0
337,0.0,0.05,0.1183,448,0.00821917808219178,0.031122414618875646,2970.0,0.025,20.0
334,0.05,0.1,0.1131,409,0.00821917808219178,0.026059112662328764,2955.0,0.07500000000000001,20.0
118,0.0,0.05,0.1538,2662,0.0027397260273972603,0.02436563215599572,2950.0,0.025,20.0
1440,0.0,0.05,0.1522,620,0.03561643835616438,0.08996291464180897,3150.0,0.025,20.0
1268,0.0,0.05,0.1588,73,0.024657534246575342,0.07718318799541,3110.0,0.025,20.0
1276,0.0,0.05,0.1768,510,0.024657534246575342,0.08678326172442932,3140.0,0.025,20.0
1278,0.0,0.05,0.182,1344,0.024657534246575342,0.08996291464180897,3150.0,0.025,20.0
1284,0.0,0.05,0.1966,100,0.024657534246575342,0.09786809414892235,3175.0,0.025,20.0
1288,0.0,0.05,0.2112,80,0.024657534246575342,0.10571127160994814,3200.0,0.025,20.0
1292,0.0,0.05,0.2394,3,0.024657534246575342,0.1212154581459134,3250.0,0.025,20.0
1294,0.0,0.05,0.2668,359,0.024657534246575342,0.13648293027670183,3300.0,0.025,20.0
1296,0.0,0.05,0.3201,8,0.024657534246575342,0.166335893426383,3400.0,0.025,20.0
1298,0.0,0.05,0.3707,23,0.024657534246575342,0.19532343029963528,3500.0,0.025,20.0
674,0.0,0.05,0.1935,102,0.021917808219178082,0.08996291464180897,3150.0,0.025,20.0
676,0.0,0.05,0.2238,2,0.021917808219178082,0.10571127160994814,3200.0,0.025,20.0
1238,0.05,0.1,0.1248,42,0.024657534246575342,0.05277188631572892,3035.0,0.07500000000000001,20.0
1236,0.05,0.1,0.1213,24,0.024657534246575342,0.051123081325545126,3030.0,0.07500000000000001,20.0
1234,0.05,0.1,0.1178,1716,0.024657534246575342,0.04947155328707216,3025.0,0.07500000000000001,20.0
1232,0.05,0.1,0.1142,28,0.024657534246575342,0.04781729319104567,3020.0,0.07500000000000001,20.0
1230,0.05,0.1,0.1107,23,0.024657534246575342,0.04616029198341618,3015.0,0.07500000000000001,20.0
1226,0.05,0.1,0.1033,805,0.024657534246575342,0.04283802979143815,3005.0,0.07500000000000001,20.0
1432,0.05,0.1,0.1127,10,0.03561643835616438,0.05770205242358753,3050.0,0.07500000000000001,20.0
3426,0.0,0.05,0.1826,4,0.10410958904109589,0.19532343029963528,3500.0,0.025,20.0
3428,0.0,0.05,0.2067,2,0.10410958904109589,0.22349430726633163,3600.0,0.025,20.0
527,0.0,0.05,0.258,28,0.01643835616438356,0.10571127160994814,3200.0,0.025,20.0
119,0.0,0.05,0.1631,1355,0.0027397260273972603,0.026059112662328764,2955.0,0.025,20.0
122,0.0,0.05,0.1914,64,0.0027397260273972603,0.031122414618875646,2970.0,0.025,20.0
117,0.0,0.05,0.1442,507,0.0027397260273972603,0.022669278907817315,2945.0,0.025,20.0
368,0.0,0.05,0.3095,38,0.00821917808219178,0.08996291464180897,3150.0,0.025,20.0
350,0.0,0.05,0.1906,184,0.00821917808219178,0.05277188631572892,3035.0,0.025,20.0
116,0.0,0.05,0.1337,519,0.0027397260273972603,0.02097004315485755,2940.0,0.025,20.0
351,0.0,0.05,0.1962,604,0.00821917808219178,0.05441797722239764,3040.0,0.025,20.0
352,0.0,0.05,0.2015,101,0.00821917808219178,0.05606136296612764,3045.0,0.025,20.0
353,0.0,0.05,0.207,142,0.00821917808219178,0.05770205242358753,3050.0,0.025,20.0
358,0.0,0.05,0.2335,78,0.00821917808219178,0.06586536306274857,3075.0,0.025,20.0
363,0.0,0.05,0.2586,311,0.00821917808219178,0.07396257329536783,3100.0,0.025,20.0
367,0.0,0.05,0.284,1,0.00821917808219178,0.08199474499263221,3125.0,0.025,20.0
